,(S)-Methylmalonyl-CoA,2-4-6-8-tetramethyl-Decane,2-4-6-8-tetramethyl-Nonanoyl-CoA,2-4-6-8-tetramethyl-Oxononanoyl-CoA,2-4-6-8-tetramethyl-Oxoundecanoyl-CoA,2-4-6-8-tetramethyl-Undecanal,2-4-6-8-tetramethyl-Undecanoyl-CoA,2-4-6-8-tetramethyl-trans-non-2-enoyl-CoA,2-4-6-8-tetramethyl-trans-undec-2-enoyl-CoA,2-4-6-trimethyl-Heptanoyl-CoA,2-4-6-trimethyl-Oxoheptanoyl-CoA,2-4-6-trimethyl-trans-hept-2-enoyl-CoA,2-4-dimethyl-Oxopentanoyl-CoA,2-4-dimethyl-Pentanoyl-CoA,2-4-dimethyl-trans-pent-2-enoyl-CoA,2-methyl-Propanoyl-CoA,3R-3-Hydroxybutanoyl-CoA,ADP,ATP,Acetoacetyl-CoA,Acetyl-CoA,But-2-enoyl-CoA,Butanoyl-CoA,CO2,CoA,Formate,H2O,HCO3-,Hplus,Malonyl-CoA,NADH,NADPH,NADPplus,NADplus,Orthophosphate,Oxygen,Propionyl-CoA,Pyruvate,S-2-4-6-8-tetramethyl-Hydroxynonanoyl-CoA,S-2-4-6-8-tetramethyl-Hydroxyundecanoyl-CoA,S-2-4-6-trimethyl-Hydroxyheptanoyl-CoA,S-2-4-dimethyl-Hydroxypentanoyl-CoA,
,Intermediate,Target,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Input,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Input/Output,Intermediate,Input/Output,Intermediate,Input/Output,Intermediate,Input,Intermediate,Input/Output,Input/Output,Input/Output,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,
2*CO2 + 7*ATP + 4*NADH + 1*CoA → 1*Acetyl-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,1,0,0,-2,-1,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,,
3*CO2 + 7*ATP + 5*NADH → 1*Pyruvate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,-3,0,0,0,0,0,0,-5,0,0,0,0,0,0,1,0,0,0,0,,
3*CO2 + 14*ATP + 7*NADH + CoA → Propionyl-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,0,0,0,0,-3,-1,0,0,0,0,0,-7,0,0,0,0,0,1,0,0,0,0,0,,
CO2 + H2O → HCO3- + Hplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ATP + Acetyl-CoA + HCO3- → ADP + Orthophosphate + Malonyl-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,0,0,0,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,
ATP + Propionyl-CoA + HCO3- → ADP + Orthophosphate + (S)-Methylmalonyl-CoA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,,
Acetyl-CoA + Malonyl-CoA → Acetoacetyl-CoA + CO2 + CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,,
Acetoacetyl-CoA + NADPH + Hplus → 3R-3-Hydroxybutanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,,
3R-3-Hydroxybutanoyl-CoA → But-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
But-2-enoyl-CoA + NADPH + Hplus → Butanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,,
Butanoyl-CoA → 2-methyl-Propanoyl-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
(S)-Methylmalonyl-CoA + 2-methyl-Propanoyl-CoA → CoA + CO2 + 2-4-dimethyl-Oxopentanoyl-CoA,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2-4-dimethyl-Oxopentanoyl-CoA + NADH + Hplus → S-2-4-dimethyl-Hydroxypentanoyl-CoA + NADplus,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,1,,
S-2-4-dimethyl-Hydroxypentanoyl-CoA → 2-4-dimethyl-trans-pent-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,
2-4-dimethyl-trans-pent-2-enoyl-CoA + NADPH + Hplus → 2-4-dimethyl-Pentanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,,
(S)-Methylmalonyl-CoA + 2-4-dimethyl-Pentanoyl-CoA → CoA + CO2 + 2-4-6-trimethyl-Oxoheptanoyl-CoA,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2-4-6-trimethyl-Oxoheptanoyl-CoA + NADH + Hplus → S-2-4-6-trimethyl-Hydroxyheptanoyl-CoA + NADplus,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,1,0,,
S-2-4-6-trimethyl-Hydroxyheptanoyl-CoA → 2-4-6-trimethyl-trans-hept-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,,
2-4-6-trimethyl-trans-hept-2-enoyl-CoA + NADPH + Hplus → 2-4-6-trimethyl-Heptanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,,
(S)-Methylmalonyl-CoA + 2-4-6-trimethyl-Heptanoyl-CoA → CoA + CO2 + 2-4-6-8-tetramethyl-Oxononanoyl-CoA,-1,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2-4-6-8-tetramethyl-Oxononanoyl-CoA + NADH + Hplus → S-2-4-6-8-tetramethyl-Hydroxynonanoyl-CoA + NADplus,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,1,0,0,0,,
S-2-4-6-8-tetramethyl-Hydroxynonanoyl-CoA → 2-4-6-8-tetramethyl-trans-non-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,
2-4-6-8-tetramethyl-trans-non-2-enoyl-CoA + NADPH + Hplus → 2-4-6-8-tetramethyl-Nonanoyl-CoA + NADPplus,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,,
Malonyl-CoA + 2-4-6-8-tetramethyl-Nonanoyl-CoA → CoA + CO2 + 2-4-6-8-tetramethyl-Oxoundecanoyl-CoA,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,,
2-4-6-8-tetramethyl-Oxoundecanoyl-CoA + NADH + Hplus → S-2-4-6-8-tetramethyl-Hydroxyundecanoyl-CoA + NADplus,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,1,0,0,,
S-2-4-6-8-tetramethyl-Hydroxyundecanoyl-CoA → 2-4-6-8-tetramethyl-trans-undec-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,,
2-4-6-8-tetramethyl-trans-undec-2-enoyl-CoA + NADPH + Hplus → 2-4-6-8-tetramethyl-Undecanoyl-CoA + NADPplus,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,,
2-4-6-8-tetramethyl-Undecanoyl-CoA + NADH + Hplus → CoA + 2-4-6-8-tetramethyl-Undecanal + NADplus,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,,
2-4-6-8-tetramethyl-Undecanal + Oxygen + 2*NADPH + 2*Hplus → 2-4-6-8-tetramethyl-Decane + Formate + H2O + 2*NADPplus,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2,0,0,-2,2,0,0,-1,0,0,0,0,0,0,,
Formate → CO2 + NADH + Hplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,
NADH + NADPplus → NADPH + NADplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,0,0,0,0,0,,
